web-scraper-order,web-scraper-start-url,Pagination,Link,Link-href,Brand,Model,Price,Mileage,transmission,Buildyear,fuel type,power,seller,condition,doors,chairs,driveline,apk
"1654881571-602","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","Audi A5 Coupé 2.0 TFSI S-Line, Climate C, Cruise C, NavigaElectronic Stability Program, Sportonderstel, Alarm, Navigatiesysteem, Radio, Climate Control, Sportstoelen, Multifunctioneel stuurwiel","https://www.autoscout24.nl/aanbod/audi-a5-coupe-2-0-tfsi-s-line-climate-c-cruise-c-naviga-benzine-wit-c57d0490-1421-43cc-96ca-86d9da44c644","Audi","A5","€ 12.750,-","137.798 km","Handgeschakeld","01/2010","Benzine","155 kW (211 PK)","Autobedrijf","Gebruikt","2","4","Voor","Nieuw"
"1654881188-567","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=18","BMW 430 430i M-Pakket Aut. [ Navi prof. Leder Camera ]Stuurwielverwarming, Sportonderstel, Lane Departure Warning Systeem, Navigatiesysteem, Sportstoelen, Parkeerhulp met camera, Schakelflippers, LED verlichting","https://www.autoscout24.nl/aanbod/bmw-430-430i-m-pakket-aut-navi-prof-leder-camera-benzine-grijs-d8fdc67a-3bd6-42ac-9a1d-75ffbb9c35ad","BMW","430","€ 33.945,-1","98.529 km","Automatisch","01/2019","Benzine","185 kW (252 PK)","Autobedrijf","Gebruikt","4","5","null","01/2023"
"1654879244-390","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Toyota Yaris Cross 1.5 Hybrid Executive Automaat | HEAD UP DISPLAY |","https://www.autoscout24.nl/aanbod/toyota-yaris-cross-1-5-hybrid-executive-automaat-head-up-display-elektro-benzine-grijs-d10ce4a3-260f-468b-a7c7-72ad1511bff3","Toyota","Yaris Cross","€ 36.900,-1","255 km","Automatisch","05/2022","Elektro/Benzine","-","Autobedrijf","Gebruikt","5","5","Voor","05/2026"
"1654881901-633","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","","Toyota Tundra 1794 CREWMAX ZEER LAGE BIJTELLING.Toyota Tundra 1794 CREWMAX ZEER LAGE BIJTELLING.","https://www.autoscout24.nl/aanbod/toyota-tundra-1794-crewmax-zeer-lage-bijtelling-benzine-zwart-697950fd-cba4-43e9-ba8f-1280acf6caa6","Toyota","Tundra","€ 59.950,-1","12 km","Automatisch","05/2019","Benzine","280 kW (381 PK)","Autobedrijf","Nieuw","4","null","null","null"
"1654879214-387","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Mercedes-Benz GLA 180 Luxury Line 19inch | Privacy Glass | Premium Pack","https://www.autoscout24.nl/aanbod/mercedes-benz-gla-180-luxury-line-19inch-privacy-glass-premium-pack-02509ba7-6ebe-4830-9bce-505b6175d379","Mercedes-Benz","GLA 180","€ 54.335,-1","-","-","01/2022","-","-","Autobedrijf","Nieuw","null","null","null","null"
"1654878008-277","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=3","Audi RS6 Avant 4.0 TFSI Quattro Perfomance Pano Carbon int+","https://www.autoscout24.nl/aanbod/audi-rs6-avant-4-0-tfsi-quattro-perfomance-pano-carbon-int-benzine-grijs-5328ed76-acde-4434-a65a-c9bcf4cab8cb","Audi","RS6","€ 79.900,-","114.013 km","Automatisch","03/2017","Benzine","446 kW (606 PK)","Autobedrijf","Gebruikt","5","5","4x4","03/2023"
"1654879338-398","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=10","BMW X5 xDrive40e M Sp. Ed.Getinte ramen, Stoelventilatie, Automatische klimaatregeling, 4 zones, LED verlichting, Parkeerhulp met camera, Elektrische achterklep, Stoelverwarming, Parkeerhulp achter","https://www.autoscout24.nl/aanbod/bmw-x5-xdrive40e-m-sp-ed-elektro-benzine-grijs-8c992f2a-ee9a-4a4f-9023-3b1317c9c87c","BMW","X5","€ 57.650,-1","96.770 km","Automatisch","01/2018","Elektro/Benzine","180 kW (245 PK)","Particulier","Gebruikt","4","5","4x4","09/2022"
"1654879586-421","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=11","Audi Q7 3.0 TDI e-tron Quattro Premium Aut. [ Panorama LucLED verlichting, Sportstoelen, Panorama dak, Stoelverwarming, Parkeerhulp voor, Luchtvering, Open dak, Navigatiesysteem","https://www.autoscout24.nl/aanbod/audi-q7-3-0-tdi-e-tron-quattro-premium-aut-panorama-luc-elektro-diesel-grijs-7b5fe0e9-9fba-4563-af6d-317ef4b47511","Audi","Q7","€ 45.945,-1","146.714 km","Automatisch","08/2016","Elektro/Diesel","190 kW (258 PK)","Autobedrijf","Gebruikt","5","5","null","03/2023"
"1654880898-540","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=17","Tesla Model 3 Standard RWD Plus | Trekhaak | Marge (geen btw)Panorama dak, Keyless Entry, Alarm, Startonderbreker, Zij-airbags, Traction Control, Bluetooth, Spraakbediening","https://www.autoscout24.nl/aanbod/tesla-model-3-standard-rwd-plus-trekhaak-marge-geen-btw-elektrisch-wit-2798fee8-487e-42a0-8ad0-0616d40b6380","Tesla","Model 3","€ 46.950,-","25.931 km","Automatisch","12/2020","Elektrisch","239 kW (325 PK)","Autobedrijf","Gebruikt","5","5","Achter","12/2024"
"1654881777-621","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","","BMW 218 Gran Tourer 218i Corporate LeaseLichtmetalen velgen, Zij-airbags, Alarm, Navigatiesysteem, Electronic Stability Program, Armsteun, Elektrisch verstelbare buitenspiegels, Multifunctioneel stuurwiel","https://www.autoscout24.nl/aanbod/bmw-218-gran-tourer-218i-corporate-lease-benzine-zwart-3ad9d101-cf8c-4dbf-a35f-3a3d62368592","BMW","218","€ 20.750,-","70.309 km","Automatisch","09/2017","Benzine","100 kW (136 PK)","Autobedrijf","Gebruikt","5","5","Voor","09/2023"
"1654880507-506","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","BMW 320 320i EfficientDynamics Edition High ExecutiveNavigatiesysteem, Sportstoelen, Open dak, Stoelverwarming, Xenon verlichting, Climate Control, Boordcomputer, Cruise Control","https://www.autoscout24.nl/aanbod/bmw-320-320i-efficientdynamics-edition-high-executive-benzine-blauw-f7dfc5c2-5635-4613-9e17-0bd99d95bfe8","BMW","320","€ 13.945,-","157.154 km","Handgeschakeld","05/2013","Benzine","125 kW (170 PK)","Autobedrijf","Gebruikt","4","5","null","05/2023"
"1654881219-570","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=18","Volvo XC60 €48.100,- INCL. BTW T8 AWD Aut. Intellisafe LuchtvLED verlichting, Apple CarPlay, Luchtvering, Dakrails, Airconditioning, 4x4","https://www.autoscout24.nl/aanbod/volvo-xc60-48-100-incl-btw-t8-awd-aut-intellisafe-luchtv-elektro-benzine-grijs-163d2aeb-9bbc-4c7c-a414-d5edbfda3a25","Volvo","XC60","€ 39.300,-1","68.253 km","Automatisch","12/2017","Elektro/Benzine","299 kW (407 PK)","Autobedrijf","Gebruikt","5","5","4x4","Nieuw"
"1654881808-624","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","","Volvo XC90 2.9 T6 Kinetic LPG-G3 AUT. 7P LEER/MEMORY/PDC/APKLendensteun, Stoelverwarming, Climate Control, Emergency Brake Assist, Lederen stuurwiel, Lichtsensor, CD, Spoiler","https://www.autoscout24.nl/aanbod/volvo-xc90-2-9-t6-kinetic-lpg-g3-aut-7p-leer-memory-pdc-apk-lpg-zwart-a4c5871b-66ac-4e05-a39c-d03961a7fbdf","Volvo","XC90","€ 7.999,-","249.683 km","Automatisch","10/2004","LPG","200 kW (272 PK)","Autobedrijf","Gebruikt","5","7","4x4","12/2022"
"1654879004-368","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=8","Bentley Continental GT 6.0 W12 GTCWind deflector, Regensensor, Stuurwielverwarming, Alarm, Bi-Xenon koplampen, Parkeerhulp achter, Bandenspanningscontrolesysteem, Startonderbreker","https://www.autoscout24.nl/aanbod/bentley-continental-gt-6-0-w12-gtc-benzine-zwart-4faa1892-7d13-46c9-b8a0-548e865fc28b","Bentley","Continental","€ 67.495,-","60.195 km","Automatisch","06/2007","Benzine","413 kW (562 PK)","Autobedrijf","Gebruikt","2","4","4x4","Nieuw"
"1654881726-617","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","BMW X2 M M35i High Executive Shadow Driving Assistant Plus","https://www.autoscout24.nl/aanbod/bmw-x2-m-m35i-high-executive-shadow-driving-assistant-plus-benzine-zwart-48c4764c-bbf2-4bc1-aca5-66b0a3a67478","BMW","X2 M","€ 49.900,-","26.890 km","Automatisch","10/2019","Benzine","225 kW (306 PK)","Autobedrijf","Gebruikt","5","5","4x4","10/2023"
"1654879948-455","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=12","Kia Niro 1.6 GDi Hybrid SportsLine Leder Executive PHEV PLU","https://www.autoscout24.nl/aanbod/kia-niro-1-6-gdi-hybrid-sportsline-leder-executive-phev-plu-elektro-benzine-zwart-8b1b242f-5cd8-4537-9e91-124eb19c1993","Kia","Niro","€ 24.942,-","89.161 km","Automatisch","12/2017","Elektro/Benzine","-","Autobedrijf","Gebruikt","5","5","Voor","null"
"1654880456-501","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","Mercedes-Benz C 250 AMBITION 211PK AMG-LINE | NL-AUTO | FULL-LED | AMGElektrische stoelverstelling, LED verlichting, Navigatiesysteem, Climate Control, Hoofd airbag, Lederen stuurwiel, Lichtsensor, Cruise Control","https://www.autoscout24.nl/aanbod/mercedes-benz-c-250-ambition-211pk-amg-line-nl-auto-full-led-amg-benzine-zwart-bbb88c45-6f26-4eb3-958c-7fd1bbd944ea","Mercedes-Benz","C 250","€ 33.890,-","106.479 km","Automatisch","01/2017","Benzine","155 kW (211 PK)","Autobedrijf","Gebruikt","4","5","Achter","01/2023"
"1654878869-356","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=7","Jaguar XE 3.0 S 381pk UNIEK! VOL OPTIESportonderstel, Elektrische achterklep, Emergency Brake Assist, Lederen stuurwiel, Xenon verlichting, Apple CarPlay, Keyless Entry, Parkeerhulp met camera","https://www.autoscout24.nl/aanbod/jaguar-xe-3-0-s-381pk-uniek-vol-optie-benzine-grijs-abbd6b8b-f42b-4209-9800-20a0296bc0eb","Jaguar","XE","€ 36.990,-","79.000 km","Automatisch","11/2017","Benzine","280 kW (381 PK)","Autobedrijf","Gebruikt","4","5","Achter","null"
"1654880011-460","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=13","Lexus NX 300h AWD Luxury Line Automaat I AFNEEMBARE TREKHAAK I S","https://www.autoscout24.nl/aanbod/lexus-nx-300h-awd-luxury-line-automaat-i-afneembare-trekhaak-i-s-elektro-benzine-zwart-00630d3d-c610-43c1-89a4-8cd4aa1e5ddf","Lexus","NX 300h","€ 26.900,-","154.030 km","Automatisch","01/2016","Elektro/Benzine","-","Autobedrijf","Gebruikt","5","5","4x4","null"
"1654881374-584","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=19","McLaren 570S Lift system - Keramisch - Camera","https://www.autoscout24.nl/aanbod/mclaren-570s-lift-system-keramisch-camera-benzine-wit-c7763eb5-a31d-4f3d-bd77-1c4076d3640c","McLaren","570S","€ 169.500,-1","11.348 km","Automatisch","08/2016","Benzine","419 kW (570 PK)","Autobedrijf","Gebruikt","2","2","Achter","Nieuw"
"1654879471-411","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=10","Volvo 850 2.3 T-5 - Fully Restored - Fully Documented","https://www.autoscout24.nl/aanbod/volvo-850-2-3-t-5-fully-restored-fully-documented-benzine-geel-473ed7f6-b89b-480a-8082-a610717a73be","Volvo","850","€ 28.500,-","262.969 km","Automatisch","12/1994","Benzine","166 kW (226 PK)","Autobedrijf","Gebruikt","5","5","Voor","Nieuw"
"1654880970-547","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=17","Mercedes-Benz GLS 400 4MATIC AMG, 7p, Burmester, Panorama, 2021","https://www.autoscout24.nl/aanbod/mercedes-benz-gls-400-4matic-amg-7p-burmester-panorama-2021-diesel-zwart-294b8be8-d016-4779-b186-73c78e2a89a8","Mercedes-Benz","GLS 400","€ 159.950,-1","9.050 km","Automatisch","09/2021","Diesel","243 kW (330 PK)","Autobedrijf","Gebruikt","5","7","4x4","null"
"1654880331-490","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=14","Toyota Land Cruiser 4.7 V8 automaat BENZINE 1e eigenaar #UNIEK4x4, Open dak, Achterbank 1/3 - 2/3, Mistlampen, Lichtmetalen velgen, Cruise Control, Elektrische ramen, Boordcomputer","https://www.autoscout24.nl/aanbod/toyota-land-cruiser-4-7-v8-automaat-benzine-1e-eigenaar-uniek-benzine-grijs-52ddfa68-1de3-4223-9f80-2a744047a018","Toyota","Land Cruiser","€ 29.950,-","222.231 km","Automatisch","01/2002","Benzine","175 kW (238 PK)","Autobedrijf","Gebruikt","5","7","4x4","Nieuw"
"1654881581-603","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","Aiways U5 63kWh 5 jaar garantie 12% bijtelling, Incl BTW app","https://www.autoscout24.nl/aanbod/aiways-u5-63kwh-5-jaar-garantie-12-bijtelling-incl-btw-app-elektrisch-paars-9b495051-858a-4110-81c3-4f4c5c481c92","Aiways","U5","€ 38.995,-1","6.897 km","Automatisch","08/2021","Elektrisch","150 kW (204 PK)","Autobedrijf","Gebruikt","5","5","Voor","08/2025"
"1654880981-548","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=17","BMW 440 Cabrio 440i High ExecutiveDigitale radio-ontvangst, Head-up display, Apple CarPlay, Zij-airbags, Alarm, Geheel digitaal combi-instrument, Airbag passagier, Dagrijverlichting","https://www.autoscout24.nl/aanbod/bmw-440-cabrio-440i-high-executive-benzine-zwart-490a3309-9eab-4e07-b18a-da493e74f489","BMW","440","€ 56.450,-","41.965 km","Automatisch","03/2019","Benzine","240 kW (326 PK)","Autobedrijf","Gebruikt","2","4","Achter","Nieuw"
"1654879306-396","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Mercedes-Benz 190 190 radio","https://www.autoscout24.nl/aanbod/mercedes-benz-190-190-radio-benzine-grijs-84bbafa5-1448-4ea0-9f9b-ba17ac6ac7d7","Mercedes-Benz","190","€ 30.950,-","83.692 km","Handgeschakeld","03/1964","Benzine","1 kW (1 PK)","Autobedrijf","Oldtimer","4","null","null","null"
"1654878662-337","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=6","Mercedes-Benz SL 65 AMG AMG *Magic Sky*Airscarf*ACC*","https://www.autoscout24.nl/aanbod/mercedes-benz-sl-65-amg-amg-magic-sky-airscarf-acc-benzine-zwart-dfc62eef-d148-4f6a-b5c6-da07bb63c3aa","Mercedes-Benz","SL 65 AMG","€ 144.950,-1","69.041 km","Automatisch","10/2012","Benzine","463 kW (630 PK)","Autobedrijf","Gebruikt","2","2","Achter","Nieuw"
"1654880612-516","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","Audi RS3 Sportback 2.5 TFSI Quattro 400PK | KleppensysteemGeheel digitaal combi-instrument, Panorama dak, Sportstoelen, Navigatiesysteem, Bochtverlichting, LED dagrijverlichting, Getinte ramen, 4x4","https://www.autoscout24.nl/aanbod/audi-rs3-sportback-2-5-tfsi-quattro-400pk-kleppensysteem-benzine-grijs-21f26131-1c66-46e7-90b1-857affd301b7","Audi","RS3","€ 64.980,-","50.980 km","Automatisch","06/2019","Benzine","294 kW (400 PK)","Autobedrijf","Gebruikt","5","5","4x4","null"
"1654879182-384","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Mercedes-Benz GLE 400 Coupé 4MATIC AMG Harmann Kardon Luchtv ACC 360 ° CSportstoelen, Luchtvering, LED verlichting, Parkeerhulp met camera, Schakelflippers, Verkeersbordherkenning, Elektrische achterklep, Bochtverlichting","https://www.autoscout24.nl/aanbod/mercedes-benz-gle-400-coupe-4matic-amg-harmann-kardon-luchtv-acc-360--c-benzine-zwart-5e03e8f0-470d-4476-b47f-0cec93508c65","Mercedes-Benz","GLE 400","€ 61.949,-","66.020 km","Automatisch","09/2016","Benzine","246 kW (334 PK)","Autobedrijf","Gebruikt","5","5","4x4","Nieuw"
"1654881602-605","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","Ferrari 612 Scaglietti F1 Dealer onderhouden ,","https://www.autoscout24.nl/aanbod/ferrari-612-scaglietti-f1-dealer-onderhouden-benzine-blauw-761dd9ea-198d-4587-932f-fe4c082b76ed","Ferrari","612","null","72.140 km","Automatisch","05/2004","Benzine","397 kW (540 PK)","Autobedrijf","Gebruikt","2","4","Achter","Nieuw"
"1654879927-453","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=12","Citroen C3 Pluriel 1.4iAirconditioning, Radio, ABS, Centrale deurvergrendeling met afstandsbediening, Cruise Control, Airbag passagier, Mistlampen, Alarm","https://www.autoscout24.nl/aanbod/citroen-c3-pluriel-1-4i-benzine-beige-4665c30a-718f-47ef-8542-2901b79c6703","Citroen","C3","€ 1.299,-","250.503 km","Handgeschakeld","04/2004","Benzine","54 kW (73 PK)","Autobedrijf","Gebruikt","2","4","Voor","03/2023"
"1654878838-353","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=7","BMW 435 Gran Coupé 435i HIGH EXECUTIVE | M-PAKKET | SHADOWElektrische achterklep, Navigatiesysteem, Start/Stop-systeem, Sportstoelen, Bandenspanningscontrolesysteem, Xenon verlichting, Cruise Control, Lederen stuurwiel","https://www.autoscout24.nl/aanbod/bmw-435-gran-coupe-435i-high-executive-m-pakket-shadow-benzine-grijs-cc4081a7-23c2-402a-9181-0e4346361557","BMW","435","€ 33.900,-","62.785 km","Automatisch","08/2014","Benzine","225 kW (306 PK)","Autobedrijf","Gebruikt","5","5","Achter","08/2022"
"1654878195-294","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=4","Audi RS4 Avant 4.2 FSI quattroXenon verlichting, Sportonderstel, Sportstoelen, Navigatiesysteem, Dakrails, Lederen stuurwiel, Boordcomputer, Airbag passagier","https://www.autoscout24.nl/aanbod/audi-rs4-avant-4-2-fsi-quattro-benzine-zwart-231cc511-18a1-4d88-9786-38f609bcc13a","Audi","RS4","€ 44.900,-","80.935 km","Automatisch","03/2013","Benzine","332 kW (451 PK)","Autobedrijf","Gebruikt","5","5","4x4","Nieuw"
"1654879638-426","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=11","Tesla Model S 75D - BTW verrekenbaar - € 42.149 excl. BTWElektrische achterklep, Luchtvering, USB, Stuurwielverwarming, Night view assist, Adaptieve Cruise Control, Verkeersbordherkenning, Handsfree","https://www.autoscout24.nl/aanbod/tesla-model-s-75d-btw-verrekenbaar--42-149-excl-btw-elektrisch-wit-a90517ef-a0d4-49ce-a837-7c0b0e723155","Tesla","Model S","€ 49.975,-1","85.202 km","Automatisch","10/2017","Elektrisch","350 kW (476 PK)","Particulier","Gebruikt","5","5","4x4","10/2022"
"1654879668-429","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=11","BMW 118 Centennial Executive M-SportLED verlichting, Navigatiesysteem, Noodoproepsysteem, Cruise Control, Trekhaak, Zij-airbags, Regensensor, Koplamp volledig LED","https://www.autoscout24.nl/aanbod/bmw-118-centennial-executive-m-sport-benzine-zwart-d753cfe4-fad9-48cd-8154-e510b38efb69","BMW","118","€ 17.999,-","76.000 km","Handgeschakeld","06/2016","Benzine","100 kW (136 PK)","Particulier","Gebruikt","5","5","Achter","06/2024"
"1654881788-622","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","","Mercedes-Benz CLS 53 AMG 4MATIC+ Premium Plus| Navi Cruise Bluetooth Lane A","https://www.autoscout24.nl/aanbod/mercedes-benz-cls-53-amg-4matic-premium-plus-navi-cruise-bluetooth-lane-a-elektro-benzine-grijs-16194995-e143-455f-b487-4d003591dddd","Mercedes-Benz","CLS 53 AMG","€ 84.950,-","58.001 km","Automatisch","01/2019","Elektro/Benzine","320 kW (435 PK)","Autobedrijf","Gebruikt","4","5","4x4","01/2023"
"1654878787-348","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=7","Audi RS5 4.2 FSI  quattroSportonderstel, Schakelflippers, Apple CarPlay, Sportstoelen, Lichtmetalen velgen, Airbag bestuurder, Navigatiesysteem, Boordcomputer","https://www.autoscout24.nl/aanbod/audi-rs5-4-2-fsi-quattro-benzine-zwart-67b1df3a-42b8-4d23-8eb4-7d71657516a4","Audi","RS5","€ 45.950,-","95.000 km","Automatisch","01/2013","Benzine","331 kW (450 PK)","Particulier","Gebruikt","2","4","4x4","01/2023"
